g,1,2,3,4,5,6,7,8
0,0,0,0,0,0,0,0,0
400,0.1633,0.189,0.1208,0.1749,0.0796,0.1795,0.2219,0.1708
480,0.2182,0.2042,0.2086,0.192,0.1789,0.2872,0.262,0.2109
560,0.2642,0.2679,0.3529,0.2862,0.3322,0.3916,0.3328,0.2572
640,0.4182,0.3247,0.3752,0.4672,0.3586,0.4677,0.3872,0.3456
720,0.4602,0.3921,0.4439,0.493,0.4162,0.4863,0.425,0.498
800,0.5889,0.5011,0.538,0.5262,0.4903,0.5744,0.6602,0.556
880,0.6342,0.6079,0.5987,0.6012,0.5442,0.6234,0.679,0.623
960,0.6872,0.6824,0.6193,0.6329,0.6179,0.6642,0.7233,0.6289
1040,0.7012,0.7204,0.6435,0.6459,0.6666,0.7239,0.7344,0.6342
1120,0.7086,0.7285,0.769,0.68,0.7345,0.7619,0.853,0.7346
1200,0.723,0.8503,0.8156,0.7538,0.7862,0.8123,0.8888,0.8672
1280,0.828,0.86,0.82,0.7963,0.8373,0.8346,0.9016,0.9249
1360,0.8672,0.861,0.9596,0.8658,0.9331,0.8533,0.9349,0.9459
1440,0.935,1.0217,0.9802,0.8962,0.9583,0.9016,0.961,0.9932
1520,0.9872,1.047,1.0224,0.946,0.9772,0.9507,0.9918,1.0329
1600,1.0327,1.086,1.0516,0.9698,1.0269,0.9916,1.0352,1.056
1680,1.0913,1.1362,1.0734,1.0539,1.0916,1.0532,1.0562,1.07
1760,1.1296,1.162,1.1096,1.0946,1.156,1.1056,1.0796,1.089
1840,1.1785,1.1922,1.1642,1.1108,1.1923,1.2058,1.1567,1.1116
1920,1.2211,1.2242,1.2096,1.1155,1.2127,1.2368,1.1788,1.189
2000,1.3219,1.263,1.25,1.2012,1.2407,1.2285,1.2396,1.1976
2080,1.3567,1.2639,1.2518,1.2438,1.2461,1.2623,1.2439,1.256